datetime,date,account_type,category,type,asset_class,name,symbol,shares,price,amount,fee,tax,currency,original_amount,original_currency,fx_rate,description,transaction_id,counterparty_name,counterparty_iban,payment_reference,mcc_code
2025-05-02T08:53:32.726Z,2025-05-02,PEA,TRADING,BUY,FUND,MSCI World Swap PEA EUR (Acc),IE0002XZSHO1,2,5.22,-10.44,,,EUR,,,,"Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 2",3a756278-1467-4759-ba1d-3fa42ac649ab,,,,
2025-05-02T09:10:52.306Z,2025-05-02,PEA,TRADING,BUY,STOCK,Cr̩dit Agricole,FR0000045072,1,16.565,-16.57,,-0.07,EUR,,,,"Savings plan execution FR0000045072 CREDIT AGRICOLE INH. EO 3, quantity: 1",01da8e6b-b1ae-46fa-a270-c4cea6dbbe51,,,,
2025-05-02T09:36:33.272Z,2025-05-02,PEA,TRADING,BUY,STOCK,Engie,FR0010208488,1,18.09,-18.09,,-0.07,EUR,,,,"Savings plan execution FR0010208488 ENGIE S.A. INH.      EO 1, quantity: 1",687006d3-6a86-4cb5-b028-0c4712564b84,,,,
2025-05-02T09:36:38.311615Z,2025-05-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-18.16,,,EUR,,,,Versement PEA,5bc7574b-3d01-410d-b774-0c0f78024bca,,,,
2025-05-02T09:19:54.923804Z,2025-05-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-8.96,,,EUR,,,,Versement PEA,5d89b3d5-8598-4686-a759-690b1b4fd7fc,,,,
2025-05-02T09:19:54.890945Z,2025-05-02,PEA,CASH,TRANSFER_IN,,,,,,8.96,,,EUR,,,,Versement PEA,089fca61-e3c6-45fc-aec2-7bbe9898f180,,,,
2025-05-02T09:36:38.350761Z,2025-05-02,PEA,CASH,TRANSFER_IN,,,,,,18.16,,,EUR,,,,Versement PEA,ea368ad6-ff9a-4c42-843d-5c8b4f2d5fc7,,,,
2025-05-02T09:26:26.692880Z,2025-05-02,PEA,CASH,TRANSFER_IN,,,,,,16.64,,,EUR,,,,Versement PEA,1b97b9ca-e9a5-4de0-a8dc-4eb938ab97e7,,,,
2025-05-02T09:26:26.625639Z,2025-05-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-16.64,,,EUR,,,,Versement PEA,554d8ae1-e415-4f6e-9389-27361284cc8f,,,,
2025-05-28T17:14:44.257100Z,2025-05-28,PEA,CASH,DIVIDEND,STOCK,Cr̩dit Agricole,FR0000045072,1,,1.1,,,EUR,,,,Cash Dividend for ISIN FR0000045072,4695e524-6644-4a04-8932-2efdc6ddccfe,,,,
